Subject,England,Wales,Scotland,Northern Ireland,Other UK,Total UK,categorykey
03 Biological sciences,176195.0,15465.0,21850.0,3800.0,,217310.0,1
07 Mathematical sciences,36575.0,1605.0,4405.0,575.0,,43155.0,1
09 Engineering & technology,129465.0,9785.0,20250.0,3755.0,,163255.0,1
06 Physical sciences,75680.0,5815.0,11665.0,1760.0,,94920.0,5
01 Medicine & dentistry,52235.0,3565.0,7655.0,2095.0,,65550.0,6
02 Subjects allied to medicine,233670.0,14170.0,29130.0,7960.0,,284935.0,6
05 Agriculture & related subjects,15090.0,1350.0,1975.0,610.0,,19025.0,6
04 Veterinary science,5255.0,,1520.0,,,6775.0,9
"(A) Architecture, building & planning",40190.0,2050.0,5600.0,1545.0,,49385.0,11
(B) Social studies,178305.0,10550.0,20510.0,4785.0,,214145.0,11
(C) Law,74215.0,4060.0,8280.0,2110.0,,88665.0,11
(D) Business & administrative studies,269120.0,17110.0,32580.0,7690.0,,326500.0,11
(E) Mass communications & documentation,42880.0,2295.0,3350.0,790.0,,49320.0,11
(F) Languages,87815.0,7500.0,11155.0,1890.0,,108355.0,11
(G) Historical & philosophical studies,68775.0,4370.0,10815.0,1415.0,,85375.0,11
(H) Creative arts & design,147190.0,8465.0,11900.0,2270.0,,169825.0,11
(I) Education,124395.0,11435.0,13905.0,6415.0,,156150.0,11
(J) Combined,28175.0,3930.0,8320.0,1500.0,,41920.0,11
08 Computer science,76125.0,5165.0,10690.0,4285.0,,96260.0,11
Total,1861345.0,128675.0,235565.0,55245.0,,2280830.0,99
Total - Non-science subject areas,1020865.0,69710.0,120825.0,28860.0,,1240255.0,99
Total - Science subject areas,840485.0,58965.0,114740.0,26380.0,,1040570.0,99
