Subject,England,Wales,Scotland,Northern Ireland,Other UK,Total UK,categorykey
03 Biological and sport sciences,85730,10320,13115,2210,,111380,1
07 Physical sciences,52385,2680,8110,1145,,64325,1
09 Mathematical sciences,37255,1580,5310,580,,44725,1
11 Computing,169810,9495,20325,6360,,205990,2
10 Engineering and technology,143725,8795,19755,4255,,176530,3
"13 Architecture, building and planning",57290,2470,5890,1825,,67475,4
"06 Agriculture, food and related studies",14490,1020,2155,295,,17960,5
"26 Geography, earth and environmental studies (natural sciences)",24205,2390,4530,860,,31985,5
"26 Geography, earth and environmental studies (social sciences)",9930,825,1050,165,,11970,5
01 Medicine and dentistry,68725,3680,10400,2540,,85345,6
02 Subjects allied to medicine,298675,18055,32085,11540,,360360,6
05 Veterinary sciences,10555,185,2020,0,,12760,6
22 Education and teaching,84770,7720,14630,2760,,109885,7
17 Business and management,515240,21415,37780,12285,,586710,8
04 Psychology,115720,8310,12030,2230,,138290,9
15 Social sciences,229200,15780,25115,5805,,275900,9
16 Law,123770,8170,9950,2635,,144525,9
19 Language and area studies,58020,4440,11280,1620,,75355,9
"20 Historical, philosophical and religious studies",59860,3835,11750,1050,,76495,9
"24 Media, journalism and communications",38395,2505,5400,955,,47255,9
"25 Design, and creative and performing arts",156900,6230,13530,2095,,178755,10
23 Combined and general studies,26385,3930,6400,2485,,39200,11
Total,2381040,143825,272615,65695,,2863180,99
Total non-science CAH level 1,1302465,74850,136885,31860,,1546060,99
Total science CAH level 1,1078580,68975,135735,33835,,1317120,99
