Subject,England,Wales,Scotland,Northern Ireland,Other UK,Total UK,categorykey,AcademicYear
"(A) Architecture, building & planning",41760.0,2110.0,5820.0,1575.0,,51265.0,11,2016/17
(B) Social studies,185455.0,11295.0,20335.0,4625.0,,221710.0,11,2016/17
(C) Law,74915.0,4140.0,8425.0,2250.0,,89730.0,11,2016/17
(D) Business & administrative studies,276855.0,16590.0,32460.0,7520.0,,333425.0,11,2016/17
(E) Mass communications & documentation,43655.0,2470.0,3495.0,805.0,,50420.0,11,2016/17
(F) Languages,86070.0,7405.0,11770.0,1795.0,,107040.0,11,2016/17
(G) Historical & philosophical studies,68390.0,4500.0,11285.0,1280.0,,85455.0,11,2016/17
(H) Creative arts & design,152940.0,8390.0,12215.0,2155.0,,175700.0,11,2016/17
(I) Education,119435.0,10070.0,15240.0,6310.0,,151060.0,11,2016/17
(J) Combined,25305.0,4020.0,8165.0,1145.0,,38640.0,11,2016/17
08 Computer science,79905.0,5400.0,11600.0,4240.0,,101145.0,11,2016/17
Total,1891980.0,129395.0,241935.0,54570.0,,2317880.0,99,2016/17
Total - Non-science subject areas,1033020.0,68880.0,123390.0,27885.0,,1253175.0,99,2016/17
Total - Science subject areas,858960.0,60515.0,118540.0,26680.0,,1064700.0,99,2016/17
03 Biological sciences,189270.0,17060.0,24020.0,3620.0,,233970.0,1,2017/18
07 Mathematical sciences,37730.0,1600.0,4665.0,585.0,,44575.0,1,2017/18
09 Engineering & technology,130560.0,9865.0,20670.0,3875.0,,164975.0,1,2017/18
06 Physical sciences,76320.0,5790.0,11890.0,1715.0,,95720.0,5,2017/18
01 Medicine & dentistry,52885.0,3180.0,7655.0,2160.0,,65875.0,6,2017/18
02 Subjects allied to medicine,233525.0,15255.0,30690.0,8595.0,,288065.0,6,2017/18
05 Agriculture & related subjects,14545.0,1315.0,2345.0,475.0,,18680.0,6,2017/18
04 Veterinary science,6310.0,,1550.0,,,7860.0,9,2017/18
"(A) Architecture, building & planning",43720.0,2135.0,6150.0,1615.0,,53620.0,11,2017/18
(B) Social studies,191935.0,11570.0,21205.0,4650.0,,229360.0,11,2017/18
(C) Law,76995.0,4210.0,8755.0,2210.0,,92165.0,11,2017/18
(D) Business & administrative studies,286975.0,15280.0,33215.0,7500.0,,342970.0,11,2017/18
(E) Mass communications & documentation,44565.0,2455.0,3440.0,900.0,,51360.0,11,2017/18
(F) Languages,81905.0,7560.0,12375.0,1700.0,,103545.0,11,2017/18
(G) Historical & philosophical studies,66895.0,4270.0,11730.0,1220.0,,84115.0,11,2017/18
(H) Creative arts & design,155630.0,8580.0,12170.0,2035.0,,178415.0,11,2017/18
(I) Education,114950.0,8505.0,15635.0,6365.0,,145445.0,11,2017/18
(J) Combined,22560.0,5380.0,6300.0,885.0,,35120.0,11,2017/18
08 Computer science,84665.0,5585.0,12640.0,4360.0,,107250.0,11,2017/18
Total,1911940.0,129585.0,247110.0,54460.0,,2343095.0,99,2017/18
Total - Non-science subject areas,1042410.0,67800.0,124825.0,27465.0,,1262500.0,99,2017/18
Total - Science subject areas,869530.0,61785.0,122280.0,26995.0,,1080590.0,99,2017/18
03 Biological sciences,195705.0,17545.0,24765.0,3745.0,,241760.0,1,2018/19
07 Mathematical sciences,38635.0,1650.0,5040.0,585.0,,45910.0,1,2018/19
09 Engineering & technology,130855.0,9490.0,20855.0,3980.0,,165180.0,1,2018/19
06 Physical sciences,75130.0,6190.0,11810.0,1710.0,,94840.0,5,2018/19
01 Medicine & dentistry,54625.0,3210.0,7795.0,2130.0,,67760.0,6,2018/19
02 Subjects allied to medicine,234005.0,15750.0,31175.0,9525.0,,290455.0,6,2018/19
05 Agriculture & related subjects,15150.0,1290.0,2370.0,510.0,,19320.0,6,2018/19
04 Veterinary science,6770.0,0.0,1630.0,0.0,,8400.0,9,2018/19
"(A) Architecture, building & planning",45235.0,2215.0,6380.0,1515.0,,55345.0,11,2018/19
(B) Social studies,198700.0,12335.0,21710.0,4735.0,,237480.0,11,2018/19
(C) Law,79080.0,4415.0,9280.0,2480.0,,95255.0,11,2018/19
(D) Business & administrative studies,300685.0,16015.0,34030.0,7745.0,,358475.0,11,2018/19
(E) Mass communications & documentation,44395.0,2540.0,3405.0,970.0,,51310.0,11,2018/19
(F) Languages,77930.0,7230.0,12620.0,1590.0,,99370.0,11,2018/19
(G) Historical & philosophical studies,65110.0,4060.0,11650.0,1145.0,,81965.0,11,2018/19
(H) Creative arts & design,158475.0,8725.0,12575.0,2055.0,,181830.0,11,2018/19
(I) Education,112280.0,8155.0,16365.0,6025.0,,142825.0,11,2018/19
(J) Combined,19580.0,5255.0,6065.0,870.0,,31770.0,11,2018/19
08 Computer science,90195.0,6135.0,13960.0,4440.0,,114730.0,11,2018/19
Total,1942535.0,132205.0,253475.0,55755.0,,2383970.0,99,2018/19
Total - Non-science subject areas,1056235.0,68730.0,127700.0,27610.0,,1280275.0,99,2018/19
Total - Science subject areas,886295.0,63475.0,125775.0,28145.0,,1103690.0,99,2018/19
03 Biological and sport sciences,80840.0,5455.0,8005.0,2590.0,310,97200.0,1,2019/20
07 Physical sciences,44565.0,2540.0,5345.0,1225.0,125,53795.0,1,2019/20
09 Mathematical sciences,28600.0,1370.0,2685.0,895.0,90,33640.0,1,2019/20
11 Computing,75790.0,5035.0,9940.0,5285.0,170,96220.0,2,2019/20
10 Engineering and technology,91370.0,5955.0,14150.0,3915.0,225,115615.0,3,2019/20
"13 Architecture, building and planning",36505.0,1970.0,4170.0,1580.0,85,44315.0,4,2019/20
"06 Agriculture, food and related studies",10300.0,1090.0,2045.0,535.0,45,14010.0,5,2019/20
"26 Geography, earth and environmental studies (natural sciences)",21800.0,1460.0,2465.0,860.0,95,26680.0,5,2019/20
"26 Geography, earth and environmental studies (social sciences)",8820.0,415.0,495.0,130.0,40,9900.0,5,2019/20
01 Medicine and dentistry,48230.0,2445.0,5105.0,2440.0,135,58350.0,6,2019/20
02 Subjects allied to medicine,215675.0,14610.0,25610.0,9985.0,370,266245.0,6,2019/20
05 Veterinary sciences,7100.0,440.0,910.0,265.0,25,8740.0,6,2019/20
22 Education and teaching,90995.0,7345.0,13360.0,5650.0,185,117540.0,7,2019/20
17 Business and management,214955.0,10470.0,20180.0,7405.0,565,253580.0,8,2019/20
04 Psychology,89465.0,5525.0,7510.0,2295.0,245,105040.0,9,2019/20
15 Social sciences,176635.0,12175.0,15980.0,5915.0,380,211085.0,9,2019/20
16 Law,81895.0,4845.0,6855.0,2490.0,250,96340.0,9,2019/20
19 Language and area studies,64795.0,3815.0,6870.0,2040.0,235,77750.0,9,2019/20
"20 Historical, philosophical and religious studies",63455.0,3130.0,6065.0,1460.0,235,74345.0,9,2019/20
"24 Media, journalism and communications",27355.0,1425.0,2515.0,1075.0,100,32475.0,9,2019/20
"25 Design, and creative and performing arts",125135.0,7890.0,9220.0,3205.0,500,145950.0,10,2019/20
23 Combined and general studies,23260.0,4200.0,7715.0,1390.0,30,36595.0,11,2019/20
Total,1627535.0,103595.0,177190.0,62645.0,4450,1975415.0,99,2019/20
Total non-science CAH level 1,877300.0,55710.0,89250.0,30770.0,2530,1055560.0,99,2019/20
Total science CAH level 1,750235.0,47885.0,87945.0,31875.0,1915,919855.0,99,2019/20
03 Biological and sport sciences,91840.0,10550.0,13165.0,2005.0,,117560.0,1,2020/21
07 Physical sciences,55175.0,3260.0,8660.0,1100.0,,68195.0,1,2020/21
09 Mathematical sciences,40410.0,1685.0,5695.0,740.0,,48530.0,1,2020/21
11 Computing,121805.0,9115.0,17380.0,5540.0,,153840.0,2,2020/21
10 Engineering and technology,146880.0,10205.0,21850.0,4230.0,,183165.0,3,2020/21
