Subject,England,Wales,Scotland,Northern Ireland,Other UK,Total UK
"(A) Architecture, building & planning",43720.0,2135.0,6150.0,1615.0,,53620.0
(B) Social studies,191935.0,11570.0,21205.0,4650.0,,229360.0
(C) Law,76995.0,4210.0,8755.0,2210.0,,92165.0
(D) Business & administrative studies,286975.0,15280.0,33215.0,7500.0,,342970.0
(E) Mass communications & documentation,44565.0,2455.0,3440.0,900.0,,51360.0
(F) Languages,81905.0,7560.0,12375.0,1700.0,,103545.0
(G) Historical & philosophical studies,66895.0,4270.0,11730.0,1220.0,,84115.0
(H) Creative arts & design,155630.0,8580.0,12170.0,2035.0,,178415.0
(I) Education,114950.0,8505.0,15635.0,6365.0,,145445.0
(J) Combined,22560.0,5380.0,6300.0,885.0,,35120.0
01 Medicine & dentistry,52885.0,3180.0,7655.0,2160.0,,65875.0
02 Subjects allied to medicine,233525.0,15255.0,30690.0,8595.0,,288065.0
03 Biological sciences,189270.0,17060.0,24020.0,3620.0,,233970.0
04 Veterinary science,6310.0,,1550.0,,,7860.0
05 Agriculture & related subjects,14545.0,1315.0,2345.0,475.0,,18680.0
06 Physical sciences,76320.0,5790.0,11890.0,1715.0,,95720.0
07 Mathematical sciences,37730.0,1600.0,4665.0,585.0,,44575.0
08 Computer science,84665.0,5585.0,12640.0,4360.0,,107250.0
09 Engineering & technology,130560.0,9865.0,20670.0,3875.0,,164975.0
Total,1911940.0,129585.0,247110.0,54460.0,,2343095.0
Total - Non-science subject areas,1042410.0,67800.0,124825.0,27465.0,,1262500.0
Total - Science subject areas,869530.0,61785.0,122280.0,26995.0,,1080590.0
